name,t,date,p_up,actual_up,n_up
Glock-18 | Fully Tuned (Field-Tested),36,2026-08-26,0.3,1,3
Glock-18 | Fully Tuned (Field-Tested),38,2026-08-28,0.1,0,1
Glock-18 | Fully Tuned (Field-Tested),39,2026-08-29,0.9,1,9
Glock-18 | Fully Tuned (Field-Tested),41,2026-08-31,0.3,0,3
Glock-18 | Fully Tuned (Field-Tested),42,2026-09-03,0.2,0,2
Glock-18 | Fully Tuned (Field-Tested),44,2026-09-05,0.1,0,1
Glock-18 | Moonrise (Factory New),30,2026-08-20,1.0,0,10
Glock-18 | Moonrise (Factory New),32,2026-08-22,1.0,1,10
Glock-18 | Moonrise (Factory New),33,2026-08-23,1.0,0,10
Glock-18 | Moonrise (Factory New),35,2026-08-25,1.0,0,10
Glock-18 | Moonrise (Factory New),36,2026-08-26,0.7,0,7
Glock-18 | Moonrise (Factory New),38,2026-08-28,0.9,1,9
Glock-18 | Moonrise (Factory New),39,2026-08-29,0.9,1,9
Glock-18 | Moonrise (Factory New),41,2026-08-31,0.6,0,6
Glock-18 | Moonrise (Factory New),42,2026-09-03,0.2,0,2
Glock-18 | Moonrise (Factory New),44,2026-09-05,0.8,0,8
Glock-18 | Nuclear Garden (Factory New),30,2026-08-20,1.0,1,10
Glock-18 | Nuclear Garden (Factory New),32,2026-08-22,0.7,0,7
Glock-18 | Nuclear Garden (Factory New),33,2026-08-23,0.4,0,4
Glock-18 | Nuclear Garden (Factory New),35,2026-08-25,0.8,0,8
Glock-18 | Nuclear Garden (Factory New),36,2026-08-26,0.9,1,9
Glock-18 | Nuclear Garden (Factory New),38,2026-08-28,0.4,0,4
Glock-18 | Nuclear Garden (Factory New),39,2026-08-29,0.6,0,6
Glock-18 | Nuclear Garden (Factory New),41,2026-08-31,0.4,0,4
Glock-18 | Nuclear Garden (Factory New),42,2026-09-03,0.5,0,5
Glock-18 | Nuclear Garden (Factory New),44,2026-09-05,0.3,0,3
Glock-18 | Nuclear Garden (Minimal Wear),30,2026-08-20,1.0,1,10
Glock-18 | Nuclear Garden (Minimal Wear),32,2026-08-22,0.8,1,8
Glock-18 | Nuclear Garden (Minimal Wear),33,2026-08-23,0.5,0,5
Glock-18 | Nuclear Garden (Minimal Wear),35,2026-08-25,0.7,0,7
Glock-18 | Nuclear Garden (Minimal Wear),36,2026-08-26,0.6,1,6
Glock-18 | Nuclear Garden (Minimal Wear),38,2026-08-28,0.4,0,4
Glock-18 | Nuclear Garden (Minimal Wear),39,2026-08-29,0.4,0,4
Glock-18 | Nuclear Garden (Minimal Wear),41,2026-08-31,0.2,0,2
Glock-18 | Nuclear Garden (Minimal Wear),42,2026-09-03,0.3,0,3
Glock-18 | Nuclear Garden (Minimal Wear),44,2026-09-05,0.3,0,3
Glock-18 | Royal Legion (Minimal Wear),30,2026-08-20,1.0,1,10
Glock-18 | Royal Legion (Minimal Wear),32,2026-08-22,1.0,1,10
Glock-18 | Royal Legion (Minimal Wear),33,2026-08-23,1.0,1,10
Glock-18 | Royal Legion (Minimal Wear),35,2026-08-25,0.7,0,7
Glock-18 | Royal Legion (Minimal Wear),36,2026-08-26,0.6,0,6
Glock-18 | Royal Legion (Minimal Wear),38,2026-08-28,0.2,0,2
Glock-18 | Royal Legion (Minimal Wear),39,2026-08-29,0.7,0,7
Glock-18 | Royal Legion (Minimal Wear),41,2026-08-31,0.4,0,4
Glock-18 | Royal Legion (Minimal Wear),42,2026-09-03,0.3,0,3
Glock-18 | Royal Legion (Minimal Wear),44,2026-09-05,0.4,0,4
Glock-18 | Trace Lock (Minimal Wear),30,2026-08-20,1.0,1,10
Glock-18 | Trace Lock (Minimal Wear),32,2026-08-22,0.9,0,9
Glock-18 | Trace Lock (Minimal Wear),33,2026-08-23,0.6,0,6
Glock-18 | Trace Lock (Minimal Wear),35,2026-08-25,0.6,0,6
Glock-18 | Trace Lock (Minimal Wear),36,2026-08-26,0.6,0,6
Glock-18 | Trace Lock (Minimal Wear),38,2026-08-28,0.9,0,9
Glock-18 | Trace Lock (Minimal Wear),39,2026-08-29,0.9,0,9
Glock-18 | Trace Lock (Minimal Wear),41,2026-08-31,0.4,0,4
Glock-18 | Trace Lock (Minimal Wear),42,2026-09-03,0.7,0,7
Glock-18 | Trace Lock (Minimal Wear),44,2026-09-05,0.5,0,5
Glock-18 | Twilight Galaxy (Minimal Wear),30,2026-08-20,1.0,1,10
Glock-18 | Twilight Galaxy (Minimal Wear),32,2026-08-22,0.9,1,9
Glock-18 | Twilight Galaxy (Minimal Wear),33,2026-08-23,0.9,1,9
Glock-18 | Twilight Galaxy (Minimal Wear),35,2026-08-25,1.0,1,10
Glock-18 | Twilight Galaxy (Minimal Wear),36,2026-08-26,1.0,1,10
Glock-18 | Twilight Galaxy (Minimal Wear),38,2026-08-28,0.9,0,9
Glock-18 | Twilight Galaxy (Minimal Wear),39,2026-08-29,0.4,0,4
Glock-18 | Twilight Galaxy (Minimal Wear),41,2026-08-31,0.5,0,5
Glock-18 | Twilight Galaxy (Minimal Wear),42,2026-09-03,0.4,0,4
Glock-18 | Twilight Galaxy (Minimal Wear),44,2026-09-05,0.6,0,6
Glock-18 | Wasteland Rebel (Minimal Wear),30,2026-08-20,0.2,1,2
Glock-18 | Wasteland Rebel (Minimal Wear),32,2026-08-22,0.1,1,1
Glock-18 | Wasteland Rebel (Minimal Wear),33,2026-08-23,0.2,1,2
Glock-18 | Wasteland Rebel (Minimal Wear),35,2026-08-25,0.0,1,0
